Begin
Andrew Tridgell
mw-redirect
Bob Truel
Alan Turing
David Turner (computer scientist)
Wietse Venema
Pat Villani
Paul Vixie
Patrick Volkerding
Eiiti Wada
John Walker (programmer)
Larry Wall
Bob Wallace (computer scientist)
Chris Wanstrath
John Warnock
Robert Watson (computer scientist)
Joseph Henry Wegstein
Pei-Yuan Wei
Peter J. Weinberger
Jim Weirich
Joseph Weizenbaum
David Wheeler (computer scientist)
Molly White (writer)
Arthur Whitney (computer scientist)
Why the lucky stiff
Adriaan van Wijngaarden
Bruce Wilcox
Evan Williams (Internet entrepreneur)
Roberta Williams
Sophie Wilson
Dave Winer
Niklaus Wirth
Stephen Wolfram
Don Woods (programmer)
Philip Woodward
Steve Wozniak
Will Wright (game designer)
William Wulf
Jerry Yang
Victor Yngve
Nobuo Yoneda
Matei Zaharia
Jamie Zawinski
Phil Zimmermann
Mark Zuckerberg
List of computer scientists
List of computing people
List of important publications in computer science
List of members of the National Academy of Sciences (computer and information sciences)
List of pioneers in computer science
List of programming language researchers
mw-redirect
List of video game industry people
Category:Computer programmers
Category:Lists of computer scientists
Category:Lists of people by occupation
Category:Articles with short description
Category:Short description is different from Wikidata
Category:Dynamic lists
Discussion about edits from this IP address [n]
A list of edits made from this IP address [y]
You are encouraged to create an account and log in; however, it is not mandatory
You&#039;re encouraged to log in; however, it&#039;s not mandatory. [o]
View the content page [c]
discussion
Edit this page [e]
Past revisions of this page [h]
Visit the main page [z]
Guides to browsing Wikipedia
Articles related to current events
Visit a randomly selected article [x]
Learn about Wikipedia and how it works
How to contact Wikipedia
Support us by donating to the Wikimedia Foundation
Guidance on how to use and edit Wikipedia
Learn how to edit Wikipedia
The hub for editors
A list of recent changes to Wikipedia [r]
Add images or other media for use on Wikipedia
List of all English Wikipedia pages containing links to this page [j]
nofollow
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of this page
More information about this page
Information on how to cite this page
Structured data on this page hosted by Wikidata [g]
Download this page as a PDF file
Printable version of this page [p]
en
প্রোগ্রামারদের তালিকা – Bangla
Seznam programátorů – Czech
Listo de programistoj – Esperanto
프로그래머 목록 – Korean
プログラマーの一覧 – Japanese
Listă de programatori – Romanian
Seznam programerjev – Slovenian
Luettelo tietokoneohjelmoijista – Finnish
noprint stopMobileRedirectToggle
End
